date	season	obs	yest.obs	two.yest.obs	three.yest.obs
1915-06-22	0	2.05400895	2.086563908	2.118712911	2.180650347
1915-06-23	0	2.004490526	2.05400895	2.086563908	2.118712911
1915-06-24	0	1.927167806	2.004490526	2.05400895	2.086563908
1915-06-25	0	1.845809432	1.927167806	2.004490526	2.05400895
1915-06-26	0	1.789657272	1.845809432	1.927167806	2.004490526
1915-06-27	0	1.770509602	1.789657272	1.845809432	1.927167806
1915-06-28	0	1.770509602	1.770509602	1.789657272	1.845809432
1915-06-29	0	1.76168342	1.770509602	1.770509602	1.789657272
1915-06-30	0	1.732904455	1.76168342	1.770509602	1.770509602
1915-07-01	0	1.703272657	1.732904455	1.76168342	1.770509602
1915-07-02	0	1.672735934	1.703272657	1.732904455	1.76168342
1915-07-03	0	1.622054447	1.672735934	1.703272657	1.732904455
1915-07-04	0	1.535876751	1.622054447	1.672735934	1.703272657
1915-07-05	0	1.432982328	1.535876751	1.622054447	1.672735934
1915-07-06	0	1.321032002	1.432982328	1.535876751	1.622054447
1915-07-07	0	1.2407597	1.321032002	1.432982328	1.535876751
1915-07-08	0	1.198070291	1.2407597	1.321032002	1.432982328
1915-07-09	0	1.18395241	1.198070291	1.2407597	1.321032002
1915-07-10	0	1.169632356	1.18395241	1.198070291	1.2407597
1915-07-11	0	1.155104255	1.169632356	1.18395241	1.198070291
1915-07-12	0	1.125399101	1.155104255	1.169632356	1.18395241
1915-07-13	0	1.079118348	1.125399101	1.155104255	1.169632356
1915-07-14	0	0.991149575	1.079118348	1.125399101	1.155104255
1915-07-15	0	0.898899842	0.991149575	1.079118348	1.125399101
1915-07-16	0	0.792605183	0.898899842	0.991149575	1.079118348
1915-07-17	0	0.702189548	0.792605183	0.898899842	0.991149575
1915-07-18	0	0.633379341	0.702189548	0.792605183	0.898899842
1915-07-19	0	0.571212435	0.633379341	0.702189548	0.792605183
1915-07-20	0	0.51730717	0.571212435	0.633379341	0.702189548
1915-07-21	0	0.469731652	0.51730717	0.571212435	0.633379341
1915-07-22	0	0.460003949	0.469731652	0.51730717	0.571212435
1915-07-23	0	0.460003949	0.460003949	0.469731652	0.51730717
1915-07-24	0	0.434259953	0.460003949	0.460003949	0.469731652
1915-07-25	0	0.372548147	0.434259953	0.460003949	0.460003949
1915-07-26	0	0.299916271	0.372548147	0.434259953	0.460003949
1915-07-27	0	0.233514958	0.299916271	0.372548147	0.434259953
1915-07-28	0	0.15534354	0.233514958	0.299916271	0.372548147
1915-07-29	0	0.077728286	0.15534354	0.233514958	0.299916271
1915-07-30	0	0.013635383	0.077728286	0.15534354	0.233514958
1915-07-31	0	-0.041847186	0.013635383	0.077728286	0.15534354
1915-08-01	0	-0.099448933	-0.041847186	0.013635383	0.077728286
1915-08-02	0	-0.136027757	-0.099448933	-0.041847186	0.013635383
1915-08-03	0	-0.185113647	-0.136027757	-0.099448933	-0.041847186
1915-08-04	0	-0.210272207	-0.185113647	-0.136027757	-0.099448933
1915-08-05	0	-0.282911391	-0.210272207	-0.185113647	-0.136027757
1915-08-06	0	-0.317758122	-0.282911391	-0.210272207	-0.185113647
