season	obs	residual	yest.residual	yest.all.obs
0	1.827091926	-0.132691915	-0.103390403	1.872765568
0	1.682376544	-0.260932925	-0.132691915	1.827091926
0	1.530929347	-0.395802083	-0.260932925	1.682376544
0	1.428889397	-0.481171299	-0.395802083	1.530929347
0	1.411268391	-0.481989011	-0.481171299	1.428889397
0	1.404758668	-0.471556398	-0.481989011	1.411268391
0	1.403624961	-0.45558996	-0.471556398	1.404758668
0	1.367282759	-0.474708894	-0.45558996	1.403624961
0	1.364187359	-0.460450329	-0.474708894	1.367282759
0	1.439185678	-0.367967904	-0.460450329	1.364187359
0	1.646923844	-0.142640039	-0.367967904	1.439185678
0	1.811950034	0.010596949	-0.142640039	1.646923844
0	1.894140247	-0.223028447	0.010596949	1.811950034
0	1.859435275	-0.52299256	-0.223028447	1.894140247
0	1.763041834	-0.721027752	-0.52299256	1.859435275
0	1.639691628	-0.717842785	-0.721027752	1.763041834
0	1.556683472	-0.654307723	-0.717842785	1.639691628
0	1.559936823	-0.547954841	-0.654307723	1.556683472
0	1.585398569	-0.450395683	-0.547954841	1.559936823
0	1.593839881	-0.390607227	-0.450395683	1.585398569
0	1.544946605	-0.40143804	-0.390607227	1.593839881
0	1.448185007	-0.468387814	-0.40143804	1.544946605
0	1.368042338	-0.523732735	-0.468387814	1.448185007
0	1.335459108	-0.534512367	-0.523732735	1.368042338
0	1.411785666	-0.438134085	-0.534512367	1.335459108
0	1.433994403	-0.396866228	-0.438134085	1.411785666
0	1.404790337	-0.407545521	-0.396866228	1.433994403
0	1.286425663	-0.507644957	-0.407545521	1.404790337
0	1.169899412	-0.606002611	-0.507644957	1.286425663
0	1.114827879	-0.64289984	-0.606002611	1.169899412
0	1.121992036	-0.617492673	-0.64289984	1.114827879
0	1.19492412	-0.526209362	-0.617492673	1.121992036
0	1.252461282	-0.450187224	-0.526209362	1.19492412
0	1.278392533	-0.405619994	-0.450187224	1.252461282
0	1.231450331	-0.43376283	-0.405619994	1.278392533
0	1.140829409	-0.505411436	-0.43376283	1.231450331
0	1.060838243	-0.5662493	-0.505411436	1.140829409
0	1.069752006	-0.537996828	-0.5662493	1.060838243
0	1.087025598	-0.501205842	-0.537996828	1.069752006
0	1.108459483	-0.460070315	-0.501205842	1.087025598
0	1.10155958	-0.44704472	-0.460070315	1.108459483
0	1.111997772	-0.416442155	-0.44704472	1.10155958
0	1.088132181	-0.419899293	-0.416442155	1.111997772
0	1.055937505	-0.431467431	-0.419899293	1.088132181
0	1.058761473	-0.407786312	-0.431467431	1.055937505
0	1.102178858	-0.343271149	-0.407786312	1.058761473
0	1.127337477	-0.29676509	-0.343271149	1.102178858
0	1.111974194	-0.290521492	-0.29676509	1.127337477
0	1.06965854	-0.310961059	-0.290521492	1.111974194
0	1.041160385	-0.317303966	-0.310961059	1.06965854
0	1.03535282	-0.300666831	-0.317303966	1.041160385
0	1.136886009	-0.176388764	-0.300666831	1.03535282
0	1.212917127	-0.077301349	-0.176388764	1.136886009
0	1.236355322	-0.03048362	-0.077301349	1.212917127
0	1.073302248	-0.169825754	-0.03048362	1.236355322
0	0.899541559	-0.319551159	-0.169825754	1.073302248
0	0.752676535	-0.442042078	-0.319551159	0.899541559
0	0.764087116	-0.4058733	-0.442042078	0.752676535
0	0.756620144	-0.388151733	-0.4058733	0.764087116
0	0.707256258	-0.411882494	-0.388151733	0.756620144
0	0.590446418	-0.502624022	-0.411882494	0.707256258
0	0.469390981	-0.597170868	-0.502624022	0.590446418
0	0.400062449	-0.639541223	-0.597170868	0.469390981
0	0.420024103	-0.592190312	-0.639541223	0.400062449
0	0.5089303	-0.475431309	-0.592190312	0.420024103
0	0.650439978	-0.305568932	-0.475431309	0.5089303
0	0.779033492	-0.147961949	-0.305568932	0.650439978
0	0.870861009	-0.026456465	-0.147961949	0.779033492
0	0.89884732	0.031892454	-0.026456465	0.870861009
0	0.857478296	0.021495132	0.031892454	0.89884732
0	0.730238065	-0.074112914	0.021495132	0.857478296
0	0.564182599	-0.207826686	-0.074112914	0.730238065
0	0.494467112	-0.244442971	-0.207826686	0.564182599
0	0.641066612	-0.06393772	-0.244442971	0.494467112
0	0.859884056	0.189643563	-0.06393772	0.641066612
0	1.028553218	0.3939898	0.189643563	0.859884056
0	1.089150701	0.491226388	0.3939898	1.028553218
0	1.082586984	0.52229612	0.491226388	1.089150701
0	1.070755013	0.549205385	0.52229612	1.082586984
0	1.100877933	0.619174606	0.549205385	1.070755013
0	1.189806751	0.749137949	0.619174606	1.100877933
0	1.278739849	0.880436972	0.749137949	1.189806751
0	1.335666512	0.981352233	0.880436972	1.278739849
