date	season	obs
1917-06-06	0	2.922171112
1917-06-07	0	3.00221382
1917-06-08	0	3.05222424
1917-06-09	0	2.99190445
1917-06-10	0	2.847806697
1917-06-11	0	2.659362304
1917-06-12	0	2.615041905
1917-06-13	0	2.647734266
1917-06-14	0	2.709390348
1917-06-15	0	2.749799886
1917-06-16	0	2.739849555
1917-06-17	0	2.689958786
1917-06-18	0	2.615796907
1917-06-19	0	2.551107431
1917-06-20	0	2.485387321
1917-06-21	0	2.375046429
1917-06-22	0	2.259660901
1917-06-23	0	2.155257781
1917-06-24	0	2.089761864
1917-06-25	0	2.00588038
1917-06-26	0	1.924158022
1917-06-27	0	1.837626081
1917-06-28	0	1.774018378
1917-06-29	0	1.6976176
1917-06-30	0	1.637229245
1917-07-01	0	1.584666915
1917-07-02	0	1.552406053
1917-07-03	0	1.508848078
1917-07-04	0	1.463306058
